location,date,hour,long,lat,hourly_lceq_avg
Calveriekapel,2022-01-23,6,4.6999168,50.8745267,57.01004304640249
Calveriekapel,2022-01-23,7,4.6999168,50.8745267,60.51923026541637
Calveriekapel,2022-01-23,8,4.6999168,50.8745267,61.84795814841165
Calveriekapel,2022-01-23,9,4.6999168,50.8745267,62.04596389283479
Calveriekapel,2022-01-23,10,4.6999168,50.8745267,62.62603860468479
Calveriekapel,2022-01-23,11,4.6999168,50.8745267,63.136570894249815
Calveriekapel,2022-01-23,12,4.6999168,50.8745267,62.97204450497084
Calveriekapel,2022-01-23,13,4.6999168,50.8745267,62.741242438656634
Calveriekapel,2022-01-23,14,4.6999168,50.8745267,62.79997445046079
Calveriekapel,2022-01-23,15,4.6999168,50.8745267,63.09472640585317
Calveriekapel,2022-01-23,16,4.6999168,50.8745267,62.14714103555302
Calveriekapel,2022-01-23,17,4.6999168,50.8745267,62.62766069504401
Calveriekapel,2022-01-23,18,4.6999168,50.8745267,63.134647155943156
Calveriekapel,2022-01-23,19,4.6999168,50.8745267,62.201644727704476
Calveriekapel,2022-01-23,20,4.6999168,50.8745267,61.24617415128746
Calveriekapel,2022-01-23,21,4.6999168,50.8745267,59.658373683043266
Calveriekapel,2022-01-23,22,4.6999168,50.8745267,57.73448915035374
Calveriekapel,2022-01-23,23,4.6999168,50.8745267,55.00312819007586
Calveriekapel,2022-01-24,0,4.6999168,50.8745267,52.49726953773212
Calveriekapel,2022-01-24,1,4.6999168,50.8745267,51.003841244173024
Calveriekapel,2022-01-24,2,4.6999168,50.8745267,50.31460802515143
Calveriekapel,2022-01-24,3,4.6999168,50.8745267,50.32052703493165
Calveriekapel,2022-01-24,4,4.6999168,50.8745267,50.58236621671369
Calveriekapel,2022-01-24,5,4.6999168,50.8745267,52.1955871113741
Calveriekapel,2022-01-24,6,4.6999168,50.8745267,57.01004304640249
Calveriekapel,2022-01-24,7,4.6999168,50.8745267,60.51923026541637
Calveriekapel,2022-01-24,8,4.6999168,50.8745267,61.84795814841165
Calveriekapel,2022-01-24,9,4.6999168,50.8745267,62.04596389283479
Calveriekapel,2022-01-24,10,4.6999168,50.8745267,62.62603860468479
Calveriekapel,2022-01-24,11,4.6999168,50.8745267,63.136570894249815
Calveriekapel,2022-01-24,12,4.6999168,50.8745267,62.97204450497084
Calveriekapel,2022-01-24,13,4.6999168,50.8745267,62.741242438656634
Calveriekapel,2022-01-24,14,4.6999168,50.8745267,62.79997445046079
Calveriekapel,2022-01-24,15,4.6999168,50.8745267,63.09472640585317
Calveriekapel,2022-01-24,16,4.6999168,50.8745267,62.14714103555302
Calveriekapel,2022-01-24,17,4.6999168,50.8745267,62.62766069504401
Calveriekapel,2022-01-24,18,4.6999168,50.8745267,63.134647155943156
Calveriekapel,2022-01-24,19,4.6999168,50.8745267,62.201644727704476
Calveriekapel,2022-01-24,20,4.6999168,50.8745267,61.24617415128746
Calveriekapel,2022-01-24,21,4.6999168,50.8745267,59.658373683043266
Calveriekapel,2022-01-24,22,4.6999168,50.8745267,57.73448915035374
Calveriekapel,2022-01-24,23,4.6999168,50.8745267,55.00312819007586
Calveriekapel,2022-01-25,0,4.6999168,50.8745267,52.49726953773212
Calveriekapel,2022-01-25,1,4.6999168,50.8745267,51.003841244173024
Calveriekapel,2022-01-25,2,4.6999168,50.8745267,50.31460802515143
Calveriekapel,2022-01-25,3,4.6999168,50.8745267,50.32052703493165
Calveriekapel,2022-01-25,4,4.6999168,50.8745267,50.58236621671369
Calveriekapel,2022-01-25,5,4.6999168,50.8745267,52.1955871113741
Calveriekapel,2022-01-25,6,4.6999168,50.8745267,57.01004304640249
Calveriekapel,2022-01-25,7,4.6999168,50.8745267,60.51923026541637
Calveriekapel,2022-01-25,8,4.6999168,50.8745267,61.84795814841165
Calveriekapel,2022-01-25,9,4.6999168,50.8745267,62.04596389283479
Calveriekapel,2022-01-25,10,4.6999168,50.8745267,62.62603860468479
Calveriekapel,2022-01-25,11,4.6999168,50.8745267,63.136570894249815
Calveriekapel,2022-01-25,12,4.6999168,50.8745267,62.97204450497084
Calveriekapel,2022-01-25,13,4.6999168,50.8745267,62.741242438656634
Calveriekapel,2022-01-25,14,4.6999168,50.8745267,62.79997445046079
Calveriekapel,2022-01-25,15,4.6999168,50.8745267,63.09472640585317
Calveriekapel,2022-01-25,16,4.6999168,50.8745267,62.14714103555302
Calveriekapel,2022-01-25,17,4.6999168,50.8745267,62.62766069504401
Calveriekapel,2022-01-25,18,4.6999168,50.8745267,63.134647155943156
Calveriekapel,2022-01-25,19,4.6999168,50.8745267,62.201644727704476
Calveriekapel,2022-01-25,20,4.6999168,50.8745267,61.24617415128746
Calveriekapel,2022-01-25,21,4.6999168,50.8745267,59.658373683043266
Calveriekapel,2022-01-25,22,4.6999168,50.8745267,57.73448915035374
Calveriekapel,2022-01-25,23,4.6999168,50.8745267,55.00312819007586
Calveriekapel,2022-01-26,0,4.6999168,50.8745267,52.49726953773212
Calveriekapel,2022-01-26,1,4.6999168,50.8745267,51.003841244173024
Calveriekapel,2022-01-26,2,4.6999168,50.8745267,50.31460802515143
Calveriekapel,2022-01-26,3,4.6999168,50.8745267,50.32052703493165
Calveriekapel,2022-01-26,4,4.6999168,50.8745267,50.58236621671369
Calveriekapel,2022-01-26,5,4.6999168,50.8745267,52.1955871113741
Calveriekapel,2022-01-26,6,4.6999168,50.8745267,57.01004304640249
Calveriekapel,2022-01-26,7,4.6999168,50.8745267,60.51923026541637
Calveriekapel,2022-01-26,8,4.6999168,50.8745267,61.84795814841165
Calveriekapel,2022-01-26,9,4.6999168,50.8745267,62.04596389283479
Calveriekapel,2022-01-26,10,4.6999168,50.8745267,62.62603860468479
Calveriekapel,2022-01-26,11,4.6999168,50.8745267,63.136570894249815
Calveriekapel,2022-01-26,12,4.6999168,50.8745267,62.97204450497084
Calveriekapel,2022-01-26,13,4.6999168,50.8745267,62.741242438656634
Calveriekapel,2022-01-26,14,4.6999168,50.8745267,62.79997445046079
Calveriekapel,2022-01-26,15,4.6999168,50.8745267,63.09472640585317
Calveriekapel,2022-01-26,16,4.6999168,50.8745267,62.14714103555302
Calveriekapel,2022-01-26,17,4.6999168,50.8745267,62.62766069504401
Calveriekapel,2022-01-26,18,4.6999168,50.8745267,63.134647155943156
Calveriekapel,2022-01-26,19,4.6999168,50.8745267,62.201644727704476
Calveriekapel,2022-01-26,20,4.6999168,50.8745267,61.24617415128746
Calveriekapel,2022-01-26,21,4.6999168,50.8745267,59.658373683043266
Calveriekapel,2022-01-26,22,4.6999168,50.8745267,57.73448915035374
Calveriekapel,2022-01-26,23,4.6999168,50.8745267,55.00312819007586
Calveriekapel,2022-01-27,0,4.6999168,50.8745267,52.49726953773212
Calveriekapel,2022-01-27,1,4.6999168,50.8745267,51.003841244173024
Calveriekapel,2022-01-27,2,4.6999168,50.8745267,50.31460802515143
Calveriekapel,2022-01-27,3,4.6999168,50.8745267,50.32052703493165
Calveriekapel,2022-01-27,4,4.6999168,50.8745267,50.58236621671369
Calveriekapel,2022-01-27,5,4.6999168,50.8745267,52.1955871113741
Calveriekapel,2022-01-27,6,4.6999168,50.8745267,57.01004304640249
Calveriekapel,2022-01-27,7,4.6999168,50.8745267,60.51923026541637
Calveriekapel,2022-01-27,8,4.6999168,50.8745267,61.84795814841165
Calveriekapel,2022-01-27,9,4.6999168,50.8745267,62.0459638928348
Calveriekapel,2022-01-27,10,4.6999168,50.8745267,62.62603860468479
Calveriekapel,2022-01-27,11,4.6999168,50.8745267,63.136570894249815
Calveriekapel,2022-01-27,12,4.6999168,50.8745267,62.97204450497084
Calveriekapel,2022-01-27,13,4.6999168,50.8745267,62.741242438656634
