location,date,hour,long,lat,hourly_lamax_avg
Calveriekapel,2022-01-21,17,4.6999168,50.8745267,55.766234383015714
Calveriekapel,2022-01-21,18,4.6999168,50.8745267,56.53077867411013
Calveriekapel,2022-01-21,19,4.6999168,50.8745267,55.9511133761957
Calveriekapel,2022-01-21,20,4.6999168,50.8745267,54.87426576340444
Calveriekapel,2022-01-21,21,4.6999168,50.8745267,52.91092612049132
Calveriekapel,2022-01-21,22,4.6999168,50.8745267,51.151527866766436
Calveriekapel,2022-01-21,23,4.6999168,50.8745267,48.3146961949873
Calveriekapel,2022-01-22,0,4.6999168,50.8745267,44.07779782130158
Calveriekapel,2022-01-22,1,4.6999168,50.8745267,41.325688622484016
Calveriekapel,2022-01-22,2,4.6999168,50.8745267,40.165396446817454
Calveriekapel,2022-01-22,3,4.6999168,50.8745267,39.34633666004937
Calveriekapel,2022-01-22,4,4.6999168,50.8745267,39.606142908441306
Calveriekapel,2022-01-22,5,4.6999168,50.8745267,41.38186675941442
Calveriekapel,2022-01-22,6,4.6999168,50.8745267,46.884873909724504
Calveriekapel,2022-01-22,7,4.6999168,50.8745267,51.629938388711224
Calveriekapel,2022-01-22,8,4.6999168,50.8745267,53.394348115775095
Calveriekapel,2022-01-22,9,4.6999168,50.8745267,53.8279545972949
Calveriekapel,2022-01-22,10,4.6999168,50.8745267,54.569782247355434
Calveriekapel,2022-01-22,11,4.6999168,50.8745267,55.388161291561175
Calveriekapel,2022-01-22,12,4.6999168,50.8745267,55.74574666540193
Calveriekapel,2022-01-22,13,4.6999168,50.8745267,55.60462408680512
Calveriekapel,2022-01-22,14,4.6999168,50.8745267,55.48593206511995
Calveriekapel,2022-01-22,15,4.6999168,50.8745267,55.82658652326632
Calveriekapel,2022-01-22,16,4.6999168,50.8745267,54.98270081907515
Calveriekapel,2022-01-22,17,4.6999168,50.8745267,55.766234383015714
Calveriekapel,2022-01-22,18,4.6999168,50.8745267,56.53077867411013
Calveriekapel,2022-01-22,19,4.6999168,50.8745267,55.9511133761957
Calveriekapel,2022-01-22,20,4.6999168,50.8745267,54.87426576340444
Calveriekapel,2022-01-22,21,4.6999168,50.8745267,52.91092612049132
Calveriekapel,2022-01-22,22,4.6999168,50.8745267,51.151527866766436
Calveriekapel,2022-01-22,23,4.6999168,50.8745267,48.3146961949873
Calveriekapel,2022-01-23,0,4.6999168,50.8745267,44.07779782130158
Calveriekapel,2022-01-23,1,4.6999168,50.8745267,41.325688622484016
Calveriekapel,2022-01-23,2,4.6999168,50.8745267,40.165396446817454
Calveriekapel,2022-01-23,3,4.6999168,50.8745267,39.34633666004937
Calveriekapel,2022-01-23,4,4.6999168,50.8745267,39.606142908441306
Calveriekapel,2022-01-23,5,4.6999168,50.8745267,41.38186675941442
Calveriekapel,2022-01-23,6,4.6999168,50.8745267,46.884873909724504
Calveriekapel,2022-01-23,7,4.6999168,50.8745267,51.629938388711224
Calveriekapel,2022-01-23,8,4.6999168,50.8745267,53.394348115775095
Calveriekapel,2022-01-23,9,4.6999168,50.8745267,53.8279545972949
Calveriekapel,2022-01-23,10,4.6999168,50.8745267,54.569782247355434
Calveriekapel,2022-01-23,11,4.6999168,50.8745267,55.388161291561175
Calveriekapel,2022-01-23,12,4.6999168,50.8745267,55.74574666540193
Calveriekapel,2022-01-23,13,4.6999168,50.8745267,55.60462408680512
Calveriekapel,2022-01-23,14,4.6999168,50.8745267,55.48593206511995
Calveriekapel,2022-01-23,15,4.6999168,50.8745267,55.82658652326632
Calveriekapel,2022-01-23,16,4.6999168,50.8745267,54.98270081907515
Calveriekapel,2022-01-23,17,4.6999168,50.8745267,55.766234383015714
Calveriekapel,2022-01-23,18,4.6999168,50.8745267,56.53077867411013
Calveriekapel,2022-01-23,19,4.6999168,50.8745267,55.9511133761957
Calveriekapel,2022-01-23,20,4.6999168,50.8745267,54.87426576340444
Calveriekapel,2022-01-23,21,4.6999168,50.8745267,52.91092612049132
Calveriekapel,2022-01-23,22,4.6999168,50.8745267,51.151527866766436
Calveriekapel,2022-01-23,23,4.6999168,50.8745267,48.3146961949873
Calveriekapel,2022-01-24,0,4.6999168,50.8745267,44.07779782130158
Calveriekapel,2022-01-24,1,4.6999168,50.8745267,41.325688622484016
Calveriekapel,2022-01-24,2,4.6999168,50.8745267,40.165396446817454
Calveriekapel,2022-01-24,3,4.6999168,50.8745267,39.34633666004937
Calveriekapel,2022-01-24,4,4.6999168,50.8745267,39.606142908441306
Calveriekapel,2022-01-24,5,4.6999168,50.8745267,41.38186675941442
Calveriekapel,2022-01-24,6,4.6999168,50.8745267,46.884873909724504
Calveriekapel,2022-01-24,7,4.6999168,50.8745267,51.629938388711224
Calveriekapel,2022-01-24,8,4.6999168,50.8745267,53.394348115775095
Calveriekapel,2022-01-24,9,4.6999168,50.8745267,53.8279545972949
Calveriekapel,2022-01-24,10,4.6999168,50.8745267,54.569782247355434
Calveriekapel,2022-01-24,11,4.6999168,50.8745267,55.388161291561175
Calveriekapel,2022-01-24,12,4.6999168,50.8745267,55.74574666540193
Calveriekapel,2022-01-24,13,4.6999168,50.8745267,55.60462408680512
Calveriekapel,2022-01-24,14,4.6999168,50.8745267,55.48593206511995
Calveriekapel,2022-01-24,15,4.6999168,50.8745267,55.82658652326632
Calveriekapel,2022-01-24,16,4.6999168,50.8745267,54.98270081907515
Calveriekapel,2022-01-24,17,4.6999168,50.8745267,55.766234383015714
Calveriekapel,2022-01-24,18,4.6999168,50.8745267,56.53077867411013
Calveriekapel,2022-01-24,19,4.6999168,50.8745267,55.9511133761957
Calveriekapel,2022-01-24,20,4.6999168,50.8745267,54.87426576340444
Calveriekapel,2022-01-24,21,4.6999168,50.8745267,52.91092612049132
Calveriekapel,2022-01-24,22,4.6999168,50.8745267,51.151527866766436
Calveriekapel,2022-01-24,23,4.6999168,50.8745267,48.3146961949873
Calveriekapel,2022-01-25,0,4.6999168,50.8745267,44.07779782130158
Calveriekapel,2022-01-25,1,4.6999168,50.8745267,41.325688622484016
Calveriekapel,2022-01-25,2,4.6999168,50.8745267,40.165396446817454
